> Air Mass 1.5 spectrum "Direct + Circumsolar" (DCS) "edition 2", normalised to 1 sun (1000 W/m2)
> Direct = Direct Normal Irradiance Nearly parallel (0.5 deg divergent cone) radiation 
> on surface with surface normal tracking (pointing to) the sun, 
> excluding scattered sky and reflected ground radiation
> Circumsolar = Spectral irradiance within +/- 2.5 degree (5 degree diameter) field of view 
> centered on the 0.5 deg diameter solar disk, but excluding the radiation from the disk  
> Source: "ASTM G173-03 Reference Spectra 
Derived from SMARTS v. 2.9.2 (AM1.5)"							
> (NREL website, april 2009)
> Adaption to SCAPS format: MB 17-5-2009
> The first column is wavelength in nm
> The value in the second column is the incident power, in W/m2, in a wavelength range from half-away the preceeding lambda-interval, to half-away the next lambda-interval
> (we have artificially added one line before the table: 279 nm, 0 W/m2/nm
>   and one line after the table: 4010 nm, 0 W/m2/nm)
> The total incident power of the AM1.5CDS ed.2 spectrum (summing the data in the second column) is 900.17492878 W/m2
> In this table, the spectrum is normalised to 1 sun incident power (1000 W/m2)
> by multiplying the second column with 1000/900.17492878
>
>lambda (nm)	P(W/m2)
774.0	1.199767E+00
775.0	1.199878E+00
776.0	1.202766E+00
777.0	1.195768E+00
778.0	1.194657E+00
779.0	1.200100E+00
780.0	1.187214E+00
781.0	1.184436E+00
782.0	1.190213E+00
783.0	1.185547E+00
784.0	1.177771E+00
785.0	1.182992E+00
786.0	1.183770E+00
787.0	1.169773E+00
788.0	1.155220E+00
789.0	1.150776E+00
790.0	1.115894E+00
791.0	1.130780E+00
792.0	1.120227E+00
793.0	1.112562E+00
794.0	1.122115E+00
795.0	1.118227E+00
796.0	1.099620E+00
797.0	1.117227E+00
798.0	1.138112E+00
799.0	1.116227E+00
800.0	1.098220E+00
801.0	1.110651E+00
802.0	1.112117E+00
803.0	1.091877E+00
804.0	1.104807E+00
805.0	1.080568E+00
806.0	1.124448E+00
807.0	1.112895E+00
808.0	1.109162E+00
809.0	1.081490E+00
810.0	1.082990E+00
811.0	1.080601E+00
812.0	1.054040E+00
813.0	1.035754E+00
814.0	9.296082E-01
815.0	9.212321E-01
816.0	8.572889E-01
817.0	8.774295E-01
818.0	8.476019E-01
819.0	9.314190E-01
820.0	8.875941E-01
821.0	1.025267E+00
822.0	9.784876E-01
823.0	6.951538E-01
824.0	9.622463E-01
825.0	9.970507E-01
826.0	9.612576E-01
827.0	1.012892E+00
828.0	8.761630E-01
829.0	9.568696E-01
830.0	9.434833E-01
831.0	9.516595E-01
832.0	9.216098E-01
833.0	9.844975E-01
834.0	9.621241E-01
835.0	1.032210E+00
836.0	1.001305E+00
837.0	1.038609E+00
838.0	1.028522E+00
839.0	1.030722E+00
840.0	1.045619E+00
841.0	1.040087E+00
842.0	1.026589E+00
843.0	1.035032E+00
844.0	1.015736E+00
845.0	1.046752E+00
846.0	1.049207E+00
847.0	1.021435E+00
848.0	1.022135E+00
849.0	1.015880E+00
850.0	9.209321E-01
851.0	1.004849E+00
852.0	9.991614E-01
853.0	9.946956E-01
854.0	8.776072E-01
855.0	9.414392E-01
856.0	1.003616E+00
857.0	1.022679E+00
858.0	1.023068E+00
859.0	1.022923E+00
860.0	1.019402E+00
861.0	1.018113E+00
862.0	1.026101E+00
863.0	1.032399E+00
864.0	1.010426E+00
865.0	9.941068E-01
866.0	8.762963E-01
867.0	9.449941E-01
868.0	9.902520E-01
869.0	9.803872E-01
870.0	9.990614E-01
871.0	9.850419E-01
872.0	9.985504E-01
873.0	9.886856E-01
874.0	9.714890E-01
875.0	9.576361E-01
876.0	9.845309E-01
877.0	9.881191E-01
878.0	9.843309E-01
879.0	9.680785E-01
880.0	9.713001E-01
881.0	9.394063E-01
882.0	9.641126E-01
883.0	9.608577E-01
884.0	9.649125E-01
885.0	9.766213E-01
886.0	9.388731E-01
887.0	9.420280E-01
888.0	9.542479E-01
889.0	9.669343E-01
890.0	9.562364E-01
891.0	9.582026E-01
892.0	9.407949E-01
893.0	9.044020E-01
894.0	8.821952E-01
895.0	8.437916E-01
896.0	7.916795E-01
897.0	6.921988E-01
898.0	7.458217E-01
899.0	5.716778E-01
900.0	7.712834E-01
901.0	6.239010E-01
902.0	6.943095E-01
903.0	7.163385E-01
904.0	8.760742E-01
905.0	8.480241E-01
906.0	8.054212E-01
907.0	6.646819E-01
908.0	6.786570E-01
909.0	7.322132E-01
910.0	6.504625E-01
911.0	6.951982E-01
912.0	7.166163E-01
913.0	6.543839E-01
914.0	6.525398E-01
915.0	7.059739E-01
916.0	6.009832E-01
917.0	7.592969E-01
918.0	6.177910E-01
919.0	7.683062E-01
920.0	7.738163E-01
921.0	8.109979E-01
922.0	7.285695E-01
923.0	7.742717E-01
924.0	7.506430E-01
925.0	7.400895E-01
926.0	7.318022E-01
927.0	8.185520E-01
928.0	6.150249E-01
929.0	5.753548E-01
930.0	4.519011E-01
931.0	4.281390E-01
932.0	3.153387E-01
933.0	2.606049E-01
934.0	1.511262E-01
935.0	2.631711E-01
936.0	1.696004E-01
937.0	1.716666E-01
938.0	2.106479E-01
939.0	4.175966E-01
940.0	4.933597E-01
941.0	3.896021E-01
942.0	4.242731E-01
943.0	2.920432E-01
944.0	2.997973E-01
945.0	3.858028E-01
946.0	2.045047E-01
947.0	3.889244E-01
948.0	2.878441E-01
949.0	5.167218E-01
950.0	1.549032E-01
951.0	5.061572E-01
952.0	2.823673E-01
953.0	3.603966E-01
954.0	4.442248E-01
955.0	3.577527E-01
956.0	3.443331E-01
957.0	2.842892E-01
958.0	4.827173E-01
959.0	3.920793E-01
960.0	4.408588E-01
961.0	4.830283E-01
962.0	4.628434E-01
963.0	5.286195E-01
964.0	4.803733E-01
965.0	5.273308E-01
966.0	5.263088E-01
967.0	5.260422E-01
968.0	6.809899E-01
969.0	7.163052E-01
970.0	6.630822E-01
971.0	7.449552E-01
972.0	7.179605E-01
973.0	6.341101E-01
974.0	6.017719E-01
975.0	6.169468E-01
976.0	5.984615E-01
977.0	6.674703E-01
978.0	6.432416E-01
979.0	6.670481E-01
980.0	6.325548E-01
981.0	7.449441E-01
982.0	7.232150E-01
983.0	6.989197E-01
984.0	7.697393E-01
985.0	7.191269E-01
986.0	7.837699E-01
987.0	7.719500E-01
988.0	7.671731E-01
989.0	7.819702E-01
990.0	7.647736E-01
991.0	7.868804E-01
992.0	7.842587E-01
993.0	7.701281E-01
994.0	7.875247E-01
995.0	7.851030E-01
996.0	7.821702E-01
997.0	7.726832E-01
998.0	7.718611E-01
999.0	7.715723E-01
1000.0	7.682840E-01
1001.0	7.777711E-01
1002.0	7.609410E-01
1003.0	7.674731E-01
1004.0	7.560308E-01
1005.0	7.125282E-01
1006.0	7.448219E-01
1007.0	7.605522E-01
1008.0	7.599301E-01
1009.0	7.525426E-01
1010.0	7.520205E-01
1011.0	7.557864E-01
1012.0	7.517094E-01
1013.0	7.504764E-01
1014.0	7.537202E-01
1015.0	7.407005E-01
1016.0	7.440332E-01
1017.0	7.358236E-01
1018.0	7.472214E-01
1019.0	7.207488E-01
1020.0	7.314023E-01
1021.0	7.343795E-01
1022.0	7.218597E-01
1023.0	7.275253E-01
1024.0	7.229373E-01
1025.0	7.301581E-01
1026.0	7.290250E-01
1027.0	7.256145E-01
1028.0	7.265032E-01
1029.0	7.186048E-01
1030.0	7.231039E-01
1031.0	7.198490E-01
1032.0	7.204377E-01
1033.0	7.082068E-01
1034.0	7.124837E-01
1035.0	7.148388E-01
1036.0	7.145611E-01
1037.0	7.072403E-01
1038.0	7.038743E-01
1039.0	7.087734E-01
1040.0	7.039298E-01
1041.0	7.040743E-01
